104.17.132.208:2083#CF优选IP 11ms
104.18.21.21:2083#CF优选IP 448ms
172.67.132.128:2083#CF优选IP 448ms
172.67.10.184:2083#CF优选IP 449ms
104.18.124.52:2083#CF优选IP 449ms
104.19.230.9:2083#CF优选IP 449ms
104.16.140.156:2083#CF优选IP 449ms
104.22.75.46:2083#CF优选IP 449ms
172.67.206.14:2083#CF优选IP 450ms
104.19.238.173:2083#CF优选IP 451ms
172.67.202.88:2083#CF优选IP 451ms
104.18.30.200:2083#CF优选IP 451ms
104.18.114.229:2083#CF优选IP 453ms
104.18.119.207:2083#CF优选IP 453ms
104.18.25.162:2083#CF优选IP 453ms
104.18.31.47:2083#CF优选IP 453ms
172.67.137.81:2083#CF优选IP 453ms
172.67.12.1:2083#CF优选IP 453ms
104.16.132.46:2083#CF优选IP 453ms
172.67.193.80:2083#CF优选IP 454ms
104.18.34.194:2083#CF优选IP 454ms
172.67.142.123:2083#CF优选IP 455ms
104.18.22.122:2083#CF优选IP 457ms
104.18.116.213:2083#CF优选IP 457ms
104.19.235.50:2083#CF优选IP 457ms
172.67.200.167:2083#CF优选IP 457ms
104.22.71.178:2083#CF优选IP 458ms
104.18.20.135:2083#CF优选IP 458ms
172.67.128.40:2083#CF优选IP 458ms
104.16.135.16:2083#CF优选IP 460ms
104.16.105.221:2083#CF优选IP 464ms
